playerId,name,DBNOs,assists,boosts,kills,killStreaks,headshotKills,roadKills,teamKills,longestKill,damageDealt,heals,revives,deathType,rideDistance,swimDistance,walkDistance,timeSurvived,weaponsAcquired,killPlace,winPlace,match_id,roster_id,roster_members,roster_rank,roster_won
account.a31c9846fc2f4089b5915cb49bb1bf7e,OnChi,0,0,3,0,0,0,0,0,0.0,0.0,7,0,byplayer,1558.5068,398.66852,1291.7798,949.778,5,56,12,719f0d3a-f061-47df-b3bb-f61d27c40e24,59cdf7b2-af1e-4a5d-9986-5ca5955ef2c0,3,12,0
account.f437e0234b0d4818875cf741348bc1a0,KYY9527,1,0,4,1,1,0,0,0,46.224686,77.649925,1,0,byplayer,1408.1785,5.9608984,1863.5676,974.951,3,33,11,719f0d3a-f061-47df-b3bb-f61d27c40e24,c6681fd5-290a-4f22-b642-36f9bd753472,4,11,0
account.da9164041f0b49f78c5c4e0ce835cced,Gucci_wC,0,0,0,1,1,1,0,0,23.83468,184.665,0,0,byplayer,0.0,0.0,67.93409,140.771,2,44,27,719f0d3a-f061-47df-b3bb-f61d27c40e24,c6681fd5-290a-4f22-b642-36f9bd753472,4,11,0
account.37cf070328dc430e8a68c52ca8b4e75c,DGraimma,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,15.028114,87.764,2,98,28,719f0d3a-f061-47df-b3bb-f61d27c40e24,c6681fd5-290a-4f22-b642-36f9bd753472,4,11,0
account.0a5e2c1a1c2a44cea5f3aa7b292b50b3,purisira,0,1,0,0,0,0,0,0,0.0,114.21149,0,0,byplayer,0.0,0.0,58.63246,130.363,1,93,27,719f0d3a-f061-47df-b3bb-f61d27c40e24,c6681fd5-290a-4f22-b642-36f9bd753472,4,11,0
account.45cd972e0b67489684b344705240edd0,Gyeom---,0,0,0,0,0,0,0,0,0.0,41.0,0,0,byplayer,0.0,0.0,116.39449,374.639,3,71,21,719f0d3a-f061-47df-b3bb-f61d27c40e24,dd9918f1-f438-4b9b-9150-01a16054bced,3,21,0
account.0c348a85ad914ceb9d96529398c34697,Seok-------,0,0,0,0,0,0,0,0,0.0,35.314163,0,0,byplayer,0.0,0.0,333.32773,374.638,1,72,21,719f0d3a-f061-47df-b3bb-f61d27c40e24,dd9918f1-f438-4b9b-9150-01a16054bced,3,21,0
account.d61fa0bbbadb4da885276559af3898ad,sweettown,0,0,0,0,0,0,0,0,0.0,0.0,0,0,byplayer,0.0,0.0,169.42543,369.503,5,73,21,719f0d3a-f061-47df-b3bb-f61d27c40e24,dd9918f1-f438-4b9b-9150-01a16054bced,3,21,0
account.e478c3eb4bca44669783db4422017bd0,COLONIST2211,4,0,7,3,1,0,0,0,25.138966,525.8212,1,0,byplayer,450.99097,0.0,3023.0806,1374.709,6,7,3,719f0d3a-f061-47df-b3bb-f61d27c40e24,24998e99-3274-454a-a8aa-6f31ffe8d99c,3,3,0
account.8a1ae71f4e244df189741f91e366d85f,jinzhengri227,2,0,2,3,1,1,0,0,18.041523,192.09004,0,0,byplayer,512.27924,0.0,2863.8528,1213.957,3,8,3,719f0d3a-f061-47df-b3bb-f61d27c40e24,24998e99-3274-454a-a8aa-6f31ffe8d99c,3,3,0
account.97207d4021bd43e7ad912e167632e2ca,Andrew0yo,1,0,0,0,0,0,0,0,0.0,140.85,2,0,byplayer,0.0,0.0,51.525337,195.743,2,70,20,719f0d3a-f061-47df-b3bb-f61d27c40e24,24998e99-3274-454a-a8aa-6f31ffe8d99c,3,3,0
account.f3934246b9834b139039603bc833a966,woosic2104,0,2,2,0,0,0,0,0,0.0,99.78749,6,0,byplayer,0.0,0.0,1011.5184,541.057,3,58,13,719f0d3a-f061-47df-b3bb-f61d27c40e24,97a4dead-ff49-4542-99ba-2f18e03b6503,4,13,0
account.e0c506c984264ba48e0380842f1475bb,mky06,1,0,5,1,1,0,0,0,26.07163,100.0,0,0,byplayer,0.0,0.0,2234.5767,879.45,4,34,13,719f0d3a-f061-47df-b3bb-f61d27c40e24,97a4dead-ff49-4542-99ba-2f18e03b6503,4,13,0
account.6a51a5e08c854acfb5d4a93b55955291,Jae_bbong10,0,0,4,2,1,1,0,0,23.632065,206.3825,2,0,byplayer,0.0,0.0,2315.584,879.452,4,19,13,719f0d3a-f061-47df-b3bb-f61d27c40e24,97a4dead-ff49-4542-99ba-2f18e03b6503,4,13,0
account.8ea98cc4ea80423ca3021f779ab70e0a,Gae_tae10,0,0,4,0,0,0,0,0,0.0,57.809998,1,0,byplayer,0.0,0.0,2405.8198,879.448,6,57,13,719f0d3a-f061-47df-b3bb-f61d27c40e24,97a4dead-ff49-4542-99ba-2f18e03b6503,4,13,0
account.dfd8eddc64c74716b34c49667969ac5b,rjqnrRB,0,0,0,0,0,0,0,0,0.0,47.0,0,0,byplayer,0.0,0.0,52.69415,102.091,1,95,28,719f0d3a-f061-47df-b3bb-f61d27c40e24,51795773-cbbc-4ad7-8dea-64538bf4be07,3,28,0
account.e3ac64cd2f1c440288c5611ccdf25e90,liver_sis,1,0,0,1,1,0,0,0,4.2700934,99.99999,0,0,byplayer,0.0,0.0,32.037807,102.089,1,45,28,719f0d3a-f061-47df-b3bb-f61d27c40e24,51795773-cbbc-4ad7-8dea-64538bf4be07,3,28,0
